customer_id,gender,age,city,join_date,estimated_salary,is_active_member,churn
10001,Male,68,Baku,2016-06-14,102102,1,0
10002,Female,57,Mingachevir,2016-11-22,80521,1,0
10003,Male,24,Mingachevir,2021-01-18,44811,0,0
10004,Male,49,Lankaran,2023-07-30,53405,1,0
10005,Male,65,Baku,2018-01-13,72157,1,0
10006,Female,36,Ganja,2019-04-20,147154,1,0
10007,Male,23,Baku,2016-05-04,79823,0,0
10008,Male,37,Shaki,2015-01-05,39856,0,1
10009,Male,44,Sumqayit,2015-03-17,135212,1,0
10010,Female,60,Mingachevir,2018-06-30,112902,0,0
10011,Male,54,Baku,2020-08-16,140347,0,0
10012,Male,65,Lankaran,2022-06-21,66970,1,0
10013,Male,24,Shaki,2016-04-17,120674,0,1
10014,Male,22,Sumqayit,2023-10-15,127780,1,0
10015,Female,28,Shaki,2018-10-13,70787,0,0
10016,Male,32,Ganja,2022-10-30,128219,1,0
10017,Female,20,Sumqayit,2017-04-17,96174,1,0
10018,Female,22,Lankaran,2016-08-25,106352,1,0
10019,Female,40,Sumqayit,2018-04-01,142155,0,0
10020,Male,54,Lankaran,2021-06-23,40598,1,0
10021,Female,26,Ganja,2019-01-21,62541,0,0
10022,Male,32,Lankaran,2024-02-07,30652,1,0
10023,Female,20,Shaki,2023-12-17,36963,0,0
10024,Female,46,Baku,2024-11-12,134047,1,0
10025,Female,23,Shaki,2019-10-31,52223,1,0
10026,Female,34,Mingachevir,2019-08-26,51024,0,0
10027,Female,43,Shaki,2023-11-11,142538,1,0
10028,Female,38,Sumqayit,2015-08-20,23941,1,0
10029,Female,25,Ganja,2015-11-24,93923,0,0
10030,Female,38,Mingachevir,2021-04-04,94060,0,0
10031,Male,28,Mingachevir,2018-02-17,121395,1,0
10032,Male,55,Mingachevir,2017-08-07,123022,1,0
10033,Female,25,Baku,2020-03-01,61617,0,0
10034,Female,59,Lankaran,2023-01-21,110815,1,0
10035,Female,41,Sumqayit,2022-04-20,74704,1,0
10036,Male,52,Ganja,2021-04-16,139666,0,1
10037,Female,31,Baku,2018-09-21,46025,1,0
10038,Male,31,Shaki,2018-07-31,103172,1,0
10039,Male,27,Ganja,2015-07-17,127019,0,1
10040,Male,29,Mingachevir,2016-02-20,63224,1,0
10041,Male,55,Ganja,2022-08-11,33277,1,0
10042,Male,61,Ganja,2018-11-19,68718,1,0
10043,Female,63,Shaki,2017-07-26,120726,1,0
10044,Female,51,Lankaran,2023-10-28,60995,1,1
10045,Female,58,Sumqayit,2024-02-19,127271,0,0
10046,Female,27,Mingachevir,2018-05-28,134715,1,1
10047,Female,34,Lankaran,2018-05-24,27539,1,0
10048,Male,34,Baku,2018-08-31,52853,0,1
10049,Female,20,Mingachevir,2019-08-19,46811,1,0
10050,Female,48,Sumqayit,2015-08-04,112464,1,1
10051,Male,68,Baku,2024-04-29,26909,1,0
10052,Female,18,Shaki,2024-05-23,113605,0,0
10053,Male,29,Lankaran,2019-07-08,149103,1,0
10054,Female,56,Mingachevir,2018-03-30,73433,0,0
10055,Male,21,Ganja,2022-11-02,66084,0,0
10056,Female,59,Sumqayit,2016-09-01,122957,1,0
10057,Female,30,Mingachevir,2022-01-02,93569,0,0
10058,Male,51,Ganja,2017-07-06,76816,0,0
10059,Male,59,Mingachevir,2015-06-06,30748,0,0
10060,Male,38,Baku,2015-06-11,132229,0,0
10061,Male,39,Ganja,2015-02-11,90602,1,0
10062,Male,21,Ganja,2023-11-26,82465,1,0
10063,Male,35,Mingachevir,2021-06-08,130808,1,0
10064,Male,22,Shaki,2018-09-15,134200,1,0
10065,Male,36,Shaki,2019-05-06,69408,0,1
10066,Female,19,Lankaran,2023-05-20,31998,1,0
10067,Female,29,Baku,2022-09-12,33764,1,0
10068,Male,34,Shaki,2018-12-23,119751,0,0
10069,Female,27,Mingachevir,2024-05-14,65379,1,0
10070,Female,51,Shaki,2015-04-30,101394,0,0
10071,Female,23,Lankaran,2018-01-03,124004,1,0
10072,Female,25,Sumqayit,2020-07-30,79588,1,0
10073,Male,68,Lankaran,2022-06-14,139287,1,0
10074,Female,28,Ganja,2022-06-01,121647,0,0
10075,Male,29,Ganja,2015-05-03,102613,1,0
10076,Female,26,Shaki,2022-05-24,82398,1,0
10077,Female,19,Shaki,2023-11-28,95793,0,1
10078,Female,25,Lankaran,2023-02-16,67210,1,1
10079,Male,28,Lankaran,2023-05-20,64560,1,1
10080,Female,53,Mingachevir,2017-02-27,130716,0,1
10081,Male,27,Baku,2015-09-14,143362,0,0
10082,Female,38,Mingachevir,2020-02-04,89201,1,0
10083,Male,37,Ganja,2022-09-05,145955,0,0
10084,Female,65,Mingachevir,2022-03-30,120978,0,0
10085,Male,25,Lankaran,2018-07-16,128894,0,1
10086,Male,53,Mingachevir,2024-10-04,36734,1,0
10087,Female,46,Sumqayit,2023-11-26,94376,1,0
10088,Male,59,Baku,2022-10-09,97598,0,0
10089,Female,29,Lankaran,2018-03-18,92580,0,0
10090,Female,31,Shaki,2024-10-29,143107,1,0
10091,Female,65,Mingachevir,2018-03-17,22063,0,0
10092,Female,67,Lankaran,2016-11-10,42313,0,1
10093,Female,38,Shaki,2023-06-08,143304,1,0
10094,Female,39,Shaki,2018-04-16,47087,1,0
10095,Female,38,Ganja,2022-10-14,65779,1,0
10096,Female,61,Ganja,2024-06-28,60181,0,0
10097,Female,67,Lankaran,2016-08-30,38205,0,0
10098,Female,47,Lankaran,2015-11-27,139577,0,0
10099,Female,56,Sumqayit,2020-10-04,32464,1,0
10100,Male,37,Baku,2018-05-15,129086,0,0
10101,Male,41,Baku,2020-11-22,47132,1,0
10102,Female,40,Lankaran,2016-06-30,70737,1,0
10103,Female,24,Ganja,2017-03-03,128174,0,1
10104,Female,26,Mingachevir,2020-03-19,122963,1,0
10105,Female,18,Sumqayit,2018-10-10,120584,0,0
10106,Female,43,Baku,2019-08-10,89285,0,1
10107,Female,55,Lankaran,2016-05-03,84549,1,0
10108,Female,55,Ganja,2019-12-28,55306,0,0
10109,Female,61,Ganja,2019-03-07,45592,1,0
10110,Male,39,Ganja,2023-07-19,135131,1,1
10111,Female,61,Mingachevir,2023-08-25,103987,1,1
10112,Male,27,Shaki,2021-06-08,113794,0,0
10113,Female,23,Mingachevir,2023-05-31,64758,0,0
10114,Female,34,Ganja,2024-06-14,146507,0,0
10115,Male,68,Lankaran,2016-10-11,142990,1,1
10116,Female,67,Sumqayit,2016-10-09,120838,1,0
10117,Male,55,Mingachevir,2018-10-17,118392,0,1
10118,Female,41,Lankaran,2016-01-16,138078,1,0
10119,Female,68,Ganja,2021-01-18,107157,0,0
10120,Male,27,Sumqayit,2020-08-28,26577,0,0
10121,Female,25,Baku,2023-04-10,136629,0,0
10122,Male,38,Baku,2020-02-07,105230,0,0
10123,Female,23,Lankaran,2021-04-09,28263,1,0
10124,Male,38,Sumqayit,2015-05-09,102741,0,0
10125,Male,56,Lankaran,2018-04-14,28072,1,0
10126,Female,41,Sumqayit,2016-02-13,80814,1,0
10127,Female,50,Sumqayit,2017-03-02,135503,0,0
10128,Male,35,Lankaran,2023-03-10,143283,0,0
10129,Female,45,Sumqayit,2018-01-12,136386,1,0
10130,Female,69,Mingachevir,2024-06-09,65306,0,0
10131,Female,49,Ganja,2015-08-10,129412,1,0
10132,Male,29,Sumqayit,2024-04-19,125666,1,0
10133,Male,65,Mingachevir,2024-08-23,128538,1,0
10134,Male,59,Sumqayit,2018-12-10,25691,1,0
10135,Male,44,Mingachevir,2021-10-28,107649,0,0
10136,Male,27,Lankaran,2016-09-09,21953,0,0
10137,Male,63,Baku,2018-09-10,90499,0,1
10138,Male,69,Shaki,2022-01-14,124290,1,0
10139,Male,59,Sumqayit,2021-01-22,126056,0,0
10140,Male,49,Shaki,2022-07-18,113405,1,0
10141,Female,59,Sumqayit,2022-08-22,146582,1,1
10142,Male,43,Lankaran,2024-01-23,96981,1,0
10143,Female,42,Lankaran,2023-05-15,57759,0,0
10144,Female,28,Mingachevir,2023-02-08,40185,0,0
10145,Female,40,Sumqayit,2017-11-02,93983,1,0
10146,Male,51,Lankaran,2024-02-11,54699,0,0
10147,Male,69,Lankaran,2024-10-25,135799,1,1
10148,Male,57,Sumqayit,2023-12-26,119176,0,0
10149,Male,40,Mingachevir,2024-09-25,93490,0,0
10150,Female,46,Mingachevir,2021-08-09,73739,0,1
10151,Male,48,Mingachevir,2015-08-13,75631,1,0
10152,Male,24,Mingachevir,2023-05-02,37945,0,0
10153,Male,57,Baku,2021-02-19,58294,0,1
10154,Male,50,Sumqayit,2023-12-12,32920,1,1
10155,Male,38,Baku,2024-07-03,115520,0,0
10156,Female,19,Lankaran,2015-02-26,73609,1,0
10157,Male,35,Baku,2021-03-10,91096,0,0
10158,Female,64,Mingachevir,2024-03-04,100925,1,0
10159,Male,50,Lankaran,2018-11-04,82358,1,0
10160,Female,54,Baku,2015-04-27,44265,0,0
10161,Male,51,Baku,2024-08-23,127389,1,0
10162,Male,37,Sumqayit,2022-03-31,93251,1,0
10163,Female,52,Baku,2016-02-14,104604,0,1
10164,Female,68,Lankaran,2020-03-31,29438,0,0
10165,Female,67,Mingachevir,2024-05-31,135434,0,0
10166,Male,35,Sumqayit,2022-10-30,90779,0,1
10167,Female,63,Baku,2023-02-24,48629,1,0
10168,Male,41,Sumqayit,2023-09-20,125130,1,1
10169,Male,25,Shaki,2020-06-06,82442,0,1
10170,Female,47,Sumqayit,2023-11-10,24085,0,1
10171,Female,61,Mingachevir,2020-08-13,124421,0,0
10172,Male,27,Shaki,2015-01-23,102926,0,0
10173,Male,40,Shaki,2023-02-16,44513,1,0
10174,Female,69,Sumqayit,2017-01-14,80084,1,0
10175,Female,66,Lankaran,2016-08-24,106230,1,0
10176,Female,28,Mingachevir,2023-04-24,83605,1,0
10177,Male,19,Lankaran,2023-08-30,81666,1,0
10178,Male,43,Mingachevir,2021-11-21,127386,0,0
10179,Male,53,Mingachevir,2017-08-27,128987,0,0
10180,Male,50,Lankaran,2018-03-24,100420,1,0
10181,Male,64,Ganja,2020-01-17,88412,1,1
10182,Male,30,Shaki,2022-04-28,111743,0,0
10183,Female,57,Sumqayit,2021-03-04,146583,1,0
10184,Male,42,Lankaran,2023-05-20,71178,1,0
10185,Male,21,Lankaran,2015-03-22,91092,1,1
10186,Male,59,Sumqayit,2022-04-16,106027,1,1
10187,Female,36,Shaki,2016-04-27,58009,0,1
10188,Male,35,Sumqayit,2022-03-24,134210,1,1
10189,Male,54,Mingachevir,2018-12-01,83976,1,0
10190,Female,47,Ganja,2023-09-10,146202,1,0
10191,Male,36,Mingachevir,2024-01-25,133218,1,0
10192,Male,40,Ganja,2024-02-19,52225,1,0
10193,Male,33,Sumqayit,2015-02-02,58437,0,0
10194,Male,18,Mingachevir,2020-09-13,90935,0,0
