customer_id,gender,age,city,join_date,estimated_salary,is_active_member,churn,product_id,product_type,balance
10001,Male,68,Baku,2016-06-14,102102,1,0,P200122,Mortgage,90051.0
10001,Male,68,Baku,2016-06-14,102102,1,0,P213629,Mortgage,168801.0
10001,Male,68,Baku,2016-06-14,102102,1,0,P219732,Mortgage,52651.0
10001,Male,68,Baku,2016-06-14,102102,1,0,P221795,Mortgage,106196.0
10002,Female,57,Mingachevir,2016-11-22,80521,1,0,P215886,Mortgage,136632.0
10003,Male,24,Mingachevir,2021-01-18,44811,0,0,P222182,Savings,24246.0
10004,Male,49,Lankaran,2023-07-30,53405,1,0,P206638,Mortgage,88170.0
10004,Male,49,Lankaran,2023-07-30,53405,1,0,P208957,Credit Card,104899.0
10004,Male,49,Lankaran,2023-07-30,53405,1,0,P215546,Loan,6133.0
10004,Male,49,Lankaran,2023-07-30,53405,1,0,P218551,Savings,150474.0
10005,Male,65,Baku,2018-01-13,72157,1,0,P221939,Savings,187490.0
10005,Male,65,Baku,2018-01-13,72157,1,0,P224297,Credit Card,80568.0
10006,Female,36,Ganja,2019-04-20,147154,1,0,P223096,Savings,27717.0
10007,Male,23,Baku,2016-05-04,79823,0,0,P200211,Loan,61291.0
10007,Male,23,Baku,2016-05-04,79823,0,0,P214147,Credit Card,42040.0
10007,Male,23,Baku,2016-05-04,79823,0,0,P217125,Loan,129058.0
10008,Male,37,Shaki,2015-01-05,39856,0,1,P205535,Mortgage,149742.0
10008,Male,37,Shaki,2015-01-05,39856,0,1,P206599,Credit Card,102894.0
10008,Male,37,Shaki,2015-01-05,39856,0,1,P219247,Mortgage,34888.0
10009,Male,44,Sumqayit,2015-03-17,135212,1,0,P220305,Savings,82765.0
10010,Female,60,Mingachevir,2018-06-30,112902,0,0,P201031,Loan,71832.0
10010,Female,60,Mingachevir,2018-06-30,112902,0,0,P204557,Loan,104925.0
10010,Female,60,Mingachevir,2018-06-30,112902,0,0,P208702,Credit Card,61615.0
10010,Female,60,Mingachevir,2018-06-30,112902,0,0,P211743,Credit Card,178258.0
10010,Female,60,Mingachevir,2018-06-30,112902,0,0,P212014,Mortgage,125979.0
10010,Female,60,Mingachevir,2018-06-30,112902,0,0,P221806,Credit Card,169671.0
10011,Male,54,Baku,2020-08-16,140347,0,0,,,
10012,Male,65,Lankaran,2022-06-21,66970,1,0,P210899,Loan,146835.0
10012,Male,65,Lankaran,2022-06-21,66970,1,0,P212396,Loan,76989.0
10012,Male,65,Lankaran,2022-06-21,66970,1,0,P217710,Credit Card,189933.0
10013,Male,24,Shaki,2016-04-17,120674,0,1,P214653,Loan,195483.0
10014,Male,22,Sumqayit,2023-10-15,127780,1,0,P206639,Credit Card,110111.0
10014,Male,22,Sumqayit,2023-10-15,127780,1,0,P220385,Mortgage,1762.0
10015,Female,28,Shaki,2018-10-13,70787,0,0,,,
10016,Male,32,Ganja,2022-10-30,128219,1,0,P206808,Loan,193074.0
10016,Male,32,Ganja,2022-10-30,128219,1,0,P209956,Savings,169731.0
10016,Male,32,Ganja,2022-10-30,128219,1,0,P213043,Savings,199408.0
