product_id,customer_id,product_type,balance
P200001,14826,Mortgage,20462
P200002,12822,Loan,51096
P200003,13671,Mortgage,106386
P200004,15928,Savings,168610
P200005,11191,Credit Card,84773
P200006,19460,Savings,108346
P200007,18567,Savings,49996
P200008,16900,Credit Card,143450
P200009,16318,Loan,80921
P200010,10909,Mortgage,48278
P200011,19121,Mortgage,49682
P200012,16753,Credit Card,131810
P200013,13819,Loan,117832
P200014,18930,Mortgage,24993
P200015,12000,Loan,166280
P200016,10155,Loan,113900
P200017,13094,Loan,162751
P200018,17445,Mortgage,20653
P200019,17358,Savings,55732
P200020,16087,Loan,142692
P200021,14269,Loan,196835
P200022,11441,Credit Card,24776
P200023,15903,Credit Card,164916
P200024,19300,Mortgage,93916
P200025,12222,Credit Card,158216
P200026,14875,Savings,29338
P200027,10186,Credit Card,39467
P200028,19445,Loan,88296
P200029,18478,Mortgage,48596
P200030,15325,Loan,109626
P200031,19284,Credit Card,177746
P200032,11499,Savings,191432
P200033,14987,Mortgage,117816
P200034,17093,Mortgage,176353
P200035,18298,Savings,31206
P200036,17104,Mortgage,184320
P200037,16171,Savings,48716
P200038,12813,Savings,180203
P200039,16861,Mortgage,143629
P200040,15320,Credit Card,159586
P200041,13521,Credit Card,103049
P200042,17088,Mortgage,106171
P200043,18134,Credit Card,74078
P200044,17599,Loan,3337
P200045,10036,Loan,54121
P200046,15539,Savings,63006
P200047,14012,Mortgage,119082
P200048,13446,Loan,45171
P200049,15790,Credit Card,58449
P200050,12429,Mortgage,145052
P200051,12194,Savings,40301
P200052,16187,Savings,156608
P200053,14735,Credit Card,53046
P200054,10166,Savings,136783
P200055,14150,Credit Card,85853
P200056,18033,Mortgage,52223
P200057,13972,Mortgage,84975
P200058,14462,Savings,23301
P200059,12829,Loan,30993
P200060,18941,Savings,107370
P200061,11278,Credit Card,175249
P200062,14197,Mortgage,13240
P200063,12126,Mortgage,195237
P200064,16058,Mortgage,195457
P200065,11447,Savings,94559
P200066,17980,Loan,93683
P200067,13955,Mortgage,40723
P200068,18567,Savings,76476
P200069,10481,Loan,187873
P200070,15585,Credit Card,136135
P200071,17387,Credit Card,75880
P200072,12816,Savings,53767
P200073,15897,Credit Card,151509
P200074,14472,Savings,27631
P200075,12236,Savings,71338
P200076,14076,Loan,189021
P200077,10960,Savings,21255
P200078,18804,Loan,146639
P200079,10058,Savings,29308
P200080,12931,Loan,164458
P200081,12392,Savings,161794
P200082,16206,Loan,167441
P200083,11485,Savings,142024
P200084,15119,Savings,68700
P200085,10891,Savings,45173
P200086,12808,Mortgage,27781
P200087,19855,Savings,198012
P200088,17144,Mortgage,186958
P200089,12571,Savings,141109
P200090,15798,Loan,46095
P200091,19436,Savings,175176
P200092,17022,Credit Card,90290
P200093,13939,Loan,33993
P200094,19316,Mortgage,2049
P200095,18168,Savings,57146
P200096,10054,Savings,8725
P200097,11736,Savings,1214
P200098,11578,Loan,184231
P200099,10081,Credit Card,178414
P200100,19643,Loan,101577
P200101,14554,Credit Card,169254
P200102,17676,Loan,134073
P200103,19734,Credit Card,34676
P200104,15190,Savings,84470
P200105,11666,Savings,108293
P200106,14473,Mortgage,8621
P200107,12910,Credit Card,30879
P200108,14266,Savings,72256
P200109,19954,Savings,135007
P200110,17250,Mortgage,6086
P200111,15620,Credit Card,56376
P200112,19534,Savings,140924
P200113,19315,Savings,174002
P200114,14915,Loan,5420
P200115,16715,Credit Card,126218
P200116,11293,Savings,36153
P200117,18846,Credit Card,63807
P200118,13912,Credit Card,148711
P200119,13654,Savings,67583
P200120,12879,Mortgage,107285
P200121,15565,Mortgage,67284
P200122,10001,Mortgage,90051
P200123,18188,Credit Card,198368
P200124,10484,Mortgage,94378
P200125,13296,Credit Card,129522
P200126,16870,Credit Card,37156
P200127,12898,Savings,48066
P200128,15446,Loan,98493
P200129,11522,Savings,194967
P200130,13232,Loan,144241
P200131,12681,Loan,72308
P200132,19618,Credit Card,146833
P200133,19519,Mortgage,126007
P200134,17820,Savings,124745
P200135,18036,Credit Card,137059
P200136,10887,Loan,123990
P200137,11354,Savings,133735
P200138,16235,Mortgage,125298
P200139,11122,Savings,174355
P200140,12353,Credit Card,23625
P200141,13409,Savings,36960
P200142,19804,Credit Card,65458
P200143,11496,Loan,152285
P200144,15029,Loan,82366
P200145,15449,Mortgage,70466
P200146,18903,Savings,127503
P200147,10414,Savings,85547
P200148,15911,Credit Card,96042
P200149,12977,Savings,68807
P200150,17219,Mortgage,36706
P200151,14929,Mortgage,146255
P200152,14651,Credit Card,32117
P200153,10606,Credit Card,126849
P200154,13996,Savings,45226
P200155,17270,Credit Card,935
P200156,12555,Savings,21090
P200157,16150,Savings,78345
P200158,18798,Mortgage,113644
P200159,14322,Loan,134549
P200160,10455,Loan,137711
P200161,13708,Mortgage,36145
P200162,17766,Mortgage,81987
P200163,10363,Savings,97851
P200164,17399,Loan,102523
P200165,11913,Loan,122130
P200166,17378,Credit Card,128338
P200167,15327,Savings,52811
P200168,19242,Mortgage,186501
P200169,13736,Loan,72879
P200170,19093,Savings,8164
P200171,10845,Mortgage,150933
P200172,11490,Loan,16188
P200173,17685,Loan,30478
P200174,14978,Mortgage,55392
P200175,15239,Loan,44598
P200176,13687,Savings,172870
P200177,14520,Savings,139153
P200178,12093,Savings,40575
P200179,11693,Savings,5211
P200180,19255,Credit Card,136362
P200181,15934,Loan,117126
P200182,16244,Credit Card,146685
P200183,10844,Savings,55737
P200184,17788,Mortgage,10988
P200185,12758,Savings,34614
P200186,17775,Credit Card,35517
P200187,16383,Mortgage,25958
P200188,11059,Credit Card,64821
P200189,17183,Mortgage,24939
P200190,16476,Savings,160129
P200191,17613,Mortgage,179531
P200192,14166,Mortgage,185926
P200193,13936,Loan,164852
P200194,11413,Loan,113759
P200195,15679,Credit Card,26775
P200196,14487,Savings,64607
P200197,14691,Loan,164962
P200198,13679,Loan,87739
P200199,12823,Savings,9329
P200200,18451,Loan,52522
P200201,12679,Savings,76651
P200202,17055,Credit Card,112651
P200203,18515,Credit Card,178962
P200204,13350,Mortgage,177332
P200205,10240,Mortgage,39193
P200206,16016,Loan,151256
P200207,19036,Mortgage,120696
P200208,10645,Loan,123211
P200209,15944,Savings,51022
P200210,15985,Credit Card,184728
P200211,10007,Loan,61291
P200212,12441,Savings,126133
P200213,18969,Savings,132049
P200214,15956,Mortgage,61641
P200215,10832,Savings,119807
P200216,14214,Credit Card,69780
P200217,18944,Loan,155666
P200218,19382,Credit Card,160153
P200219,13533,Credit Card,92872
P200220,19040,Credit Card,48605
P200221,11676,Credit Card,39446
P200222,16648,Credit Card,131873
P200223,10547,Savings,118432
P200224,19409,Mortgage,193105
P200225,19350,Loan,91136
P200226,14249,Loan,21353
P200227,19579,Mortgage,152116
P200228,11927,Savings,125109
P200229,16655,Loan,173573
P200230,10178,Mortgage,179014
P200231,12828,Mortgage,143295
P200232,11394,Loan,185810
P200233,14394,Credit Card,24001
P200234,16052,Mortgage,60175
P200235,17487,Credit Card,165237
P200236,14362,Loan,42968
P200237,13215,Savings,61352
P200238,19878,Credit Card,81018
P200239,14076,Credit Card,186162
P200240,11524,Mortgage,67728
P200241,16588,Mortgage,170421
P200242,13792,Loan,154397
P200243,14204,Loan,131955
P200244,12821,Loan,83355
P200245,14570,Loan,24633
P200246,14639,Loan,2128
P200247,15096,Credit Card,28816
P200248,16784,Credit Card,141048
P200249,16432,Mortgage,19628
P200250,10688,Mortgage,174967
P200251,14219,Loan,55167
P200252,13189,Credit Card,166888
P200253,18609,Credit Card,179478
P200254,14280,Credit Card,1143
P200255,13499,Savings,128134
P200256,10973,Loan,92364
